power,d_power,time
2,1,0,01999999
7,5,0,01999999
3,-4,0,07699219
1,-2,0,07699219
1,0,0,07699219
0,-1,0,07699219
1,1,0,07699219
1,0,0,07699219
0,-1,0,07699219
1,1,0,07699219
1,0,0,07699219
1,0,0,07699219
6,5,0,07699219
4,-2,0,07699219
5,1,0,07699219
4,-1,0,07699219
4,0,0,07699219
3,-1,0,07699219
4,1,0,07699219
4,0,0,07699219
1,-3,0,07699219
1,0,0,07699219
0,-1,0,08733169
0,0,0,1286737
1,1,0,1286737
1,0,0,1286737
1,0,0,1286737
1,0,0,1286737
1,0,0,1286737
1,0,0,1286737
1,0,0,1286737
1,0,0,1286737
1,0,0,1286737
1,0,0,1286737
1,0,0,1286737
2,1,0,1286737
2,0,0,1286737
4,2,0,1286737
2,-2,0,1286737
2,0,0,1286737
2,0,0,1286737
1,-1,0,1286737
1,0,0,1286737
1,0,0,136684
1,0,0,1507458
1,0,0,1507458
0,-1,0,1507458
0,0,0,1507458
0,0,0,1507458
1,1,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
1,0,0,1507458
2,1,0,1507458
7,5,0,1640955
3,-4,0,1712645
2,-1,0,1712645
1,-1,0,1712645
2,1,0,1712645
1,-1,0,1712645
2,1,0,1712645
4,2,0,1712645
3,-1,0,1712645
2,-1,0,1712645
1,-1,0,1712645
1,0,0,1844405
1,0,0,1978409
1,0,0,2178915
1,0,0,2647666
2,1,0,2678246
3,1,0,2760604
3,0,0,2916159
2,-1,0,3153369
1,-1,0,3361257
1,0,0,3490871
0,-1,0,3842396
0,0,0,4040904
0,0,0,4275988
1,1,0,4485845
0,-1,0,4891972
0,0,0,4947838
1,1,0,5224935
0,-1,0,5397469
0,0,0,5493477
1,1,0,5659995
0,-1,0,593412
1,1,0,6162651
1,0,0,6327408
1,0,0,6595615
1,0,0,688755
1,0,0,7148888
0,-1,0,7499191
0,0,0,7810576
0,0,0,8102567
1,1,0,8306523
0,-1,0,8585335
0,0,0,8809319
1,1,0,9021555
0,-1,0,9268166
0,0,0,9496301
0,0,0,9657649
0,0,0,9918621
1,1,1,014824
1,0,1,050121
0,-1,1,074656
1,1,1,096437
1,0,1,125512
1,0,1,146097
1,0,1,167577
1,0,1,195791
1,0,1,218366
1,0,1,245614
1,0,1,262974
1,0,1,285484
1,0,1,297152
1,0,1,320734
1,0,1,348278
1,0,1,364791
1,0,1,376557
1,0,1,406622
2,1,1,430364
1,-1,1,450687
0,-1,1,487871
1,1,1,50192
0,-1,1,526741
3,3,1,555127
1,-2,1,571571
1,0,1,58709
1,0,1,606372
2,1,1,632514
1,-1,1,654723
1,0,1,677167
1,0,1,699687
1,0,1,720041
1,0,1,742485
1,0,1,779374
1,0,1,793406
1,0,1,810751
1,0,1,826854
1,0,1,844845
1,0,1,860711
1,0,1,878948
1,0,1,895867
1,0,1,920363
1,0,1,943379
1,0,1,954792
1,0,1,971774
1,0,2,002354
2,1,2,009749
2,0,2,033223
1,-1,2,053842
0,-1,2,072479
0,0,2,093637
1,1,2,130502
1,0,2,143089
1,0,2,184469
1,0,2,203324
1,0,2,226085
1,0,2,244065
1,0,2,255978
1,0,2,27807
1,0,2,294087
2,1,2,351545
1,-1,2,354573
4,3,2,367792
2,-2,2,384644
2,0,2,412014
1,-1,2,424494
1,0,2,441625
1,0,2,46228
1,0,2,488109
0,-1,2,516356
0,0,2,5311
0,0,2,567211
0,0,2,585525
0,0,2,611174
1,1,2,650196
0,-1,2,668432
0,0,2,68494
0,0,2,71339
2,2,2,741819
